percentile;year;percentage
p90p100;1937;
p90p100;1938;
p90p100;1939;
p90p100;1940;0.5067
p90p100;1941;
p90p100;1942;
p90p100;1943;
p90p100;1944;
p90p100;1945;
p90p100;1946;
p90p100;1947;
p90p100;1948;
p90p100;1949;
p90p100;1950;0.3517
p90p100;1951;0.3742
p90p100;1952;0.3692
p90p100;1953;0.3684
p90p100;1954;0.3877
p90p100;1955;0.402
p90p100;1956;0.4015
p90p100;1957;0.3961
p90p100;1958;0.397
p90p100;1959;0.3866
p90p100;1960;0.3795
p90p100;1961;0.3808
p90p100;1962;0.3789
p90p100;1963;0.3556
p90p100;1964;0.3652
p90p100;1965;0.369
p90p100;1966;0.3725
p90p100;1967;0.3676
p90p100;1968;0.3616
p90p100;1969;0.3717
p90p100;1970;0.3754
p90p100;1971;0.3543
p90p100;1972;0.3511
p90p100;1973;0.3499
p90p100;1974;0.3502
p90p100;1975;0.3512
p90p100;1976;0.3532
p90p100;1977;0.351
p90p100;1978;0.346
p90p100;1979;0.3313
p90p100;1980;0.3236
p90p100;1981;0.3155
p90p100;1982;0.3087
p90p100;1983;0.3615
p90p100;1984;0.3424
p90p100;1985;0.3568
p90p100;1986;0.3597
p90p100;1987;0.3537
p90p100;1988;0.363
p90p100;1989;0.3634
p90p100;1990;0.344
p90p100;1991;0.3502
p90p100;1992;0.3599
p90p100;1993;0.3767
p90p100;1994;0.3922
p90p100;1995;0.3928
p90p100;1996;0.3894
p90p100;1997;0.3975
p90p100;1998;0.4025
p90p100;1999;0.4052
p90p100;2000;0.409
p90p100;2001;0.4199
p90p100;2002;0.431
p90p100;2003;0.4423
p90p100;2004;0.4538
p90p100;2005;0.4655
p90p100;2006;0.4782
p90p100;2007;0.4913
p90p100;2008;0.5046
p90p100;2009;0.5183
p90p100;2010;0.5321
p90p100;2011;0.5517
p90p100;2012;0.5603
p90p100;2013;0.5627
p90p100;2014;0.5713
p90p100;2015;0.5713
p90p100;2016;0.5713
p90p100;2017;0.5713
p90p100;2018;0.5713
p90p100;2019;0.5713
p90p100;2020;0.5713
p90p100;2021;0.5713
p0p50;1820;0.1756
p0p50;1821;
p0p50;1822;
p0p50;1823;
p0p50;1824;
p0p50;1825;
p0p50;1826;
p0p50;1827;
p0p50;1828;
p0p50;1829;
p0p50;1830;
p0p50;1831;
p0p50;1832;
p0p50;1833;
p0p50;1834;
p0p50;1835;
p0p50;1836;
p0p50;1837;
p0p50;1838;
p0p50;1839;
p0p50;1840;
p0p50;1841;
p0p50;1842;
p0p50;1843;
p0p50;1844;
p0p50;1845;
p0p50;1846;
p0p50;1847;
p0p50;1848;
p0p50;1849;
p0p50;1850;0.1688
p0p50;1851;
p0p50;1852;
p0p50;1853;
p0p50;1854;
p0p50;1855;
p0p50;1856;
p0p50;1857;
p0p50;1858;
p0p50;1859;
p0p50;1860;
p0p50;1861;
p0p50;1862;
p0p50;1863;
p0p50;1864;
p0p50;1865;
p0p50;1866;
p0p50;1867;
p0p50;1868;
p0p50;1869;
p0p50;1870;
p0p50;1871;
p0p50;1872;
p0p50;1873;
p0p50;1874;
p0p50;1875;
p0p50;1876;
p0p50;1877;
p0p50;1878;
p0p50;1879;
p0p50;1880;0.1533
p0p50;1881;
p0p50;1882;
p0p50;1883;
p0p50;1884;
p0p50;1885;
p0p50;1886;
p0p50;1887;
p0p50;1888;
p0p50;1889;
p0p50;1890;
p0p50;1891;
p0p50;1892;
p0p50;1893;
p0p50;1894;
p0p50;1895;
p0p50;1896;
p0p50;1897;
p0p50;1898;
p0p50;1899;
p0p50;1900;0.1561
p0p50;1901;
p0p50;1902;
p0p50;1903;
p0p50;1904;
p0p50;1905;
p0p50;1906;
p0p50;1907;
p0p50;1908;
p0p50;1909;
p0p50;1910;0.1864
p0p50;1911;
p0p50;1912;
p0p50;1913;
p0p50;1914;
p0p50;1915;
p0p50;1916;
p0p50;1917;
p0p50;1918;
p0p50;1919;
p0p50;1920;0.1577
p0p50;1921;
p0p50;1922;
p0p50;1923;
p0p50;1924;
p0p50;1925;
p0p50;1926;
p0p50;1927;
p0p50;1928;
p0p50;1929;
p0p50;1930;0.1764
p0p50;1931;
p0p50;1932;
p0p50;1933;
p0p50;1934;
p0p50;1935;
p0p50;1936;
p0p50;1937;
p0p50;1938;
p0p50;1939;
p0p50;1940;0.1666
p0p50;1941;
p0p50;1942;
p0p50;1943;
p0p50;1944;
p0p50;1945;
p0p50;1946;
p0p50;1947;
p0p50;1948;
p0p50;1949;
p0p50;1950;0.2189
p0p50;1951;0.1895
p0p50;1952;0.1893
p0p50;1953;0.1932
p0p50;1954;0.1858
p0p50;1955;0.1784
p0p50;1956;0.1771
p0p50;1957;0.1863
p0p50;1958;0.1816
p0p50;1959;0.1839
p0p50;1960;0.1912
p0p50;1961;0.1928
p0p50;1962;0.1973
p0p50;1963;0.2062
p0p50;1964;0.204
p0p50;1965;0.2035
p0p50;1966;0.2028
p0p50;1967;0.2021
p0p50;1968;0.2034
p0p50;1969;0.1992
p0p50;1970;0.1985
p0p50;1971;0.2059
p0p50;1972;0.2075
p0p50;1973;0.2083
p0p50;1974;0.2076
p0p50;1975;0.2066
p0p50;1976;0.2053
p0p50;1977;0.2054
p0p50;1978;0.2063
p0p50;1979;0.2103
p0p50;1980;0.2121
p0p50;1981;0.2139
p0p50;1982;0.2154
p0p50;1983;0.1983
p0p50;1984;0.204
p0p50;1985;0.1992
p0p50;1986;0.198
p0p50;1987;0.1996
p0p50;1988;0.1965
p0p50;1989;0.1965
p0p50;1990;0.2027
p0p50;1991;0.2011
p0p50;1992;0.1982
p0p50;1993;0.1933
p0p50;1994;0.1887
p0p50;1995;0.189
p0p50;1996;0.1905
p0p50;1997;0.1883
p0p50;1998;0.187
p0p50;1999;0.1864
p0p50;2000;0.1854
p0p50;2001;0.1814
p0p50;2002;0.1773
p0p50;2003;0.1732
p0p50;2004;0.169
p0p50;2005;0.1648
p0p50;2006;0.1607
p0p50;2007;0.1564
p0p50;2008;0.1521
p0p50;2009;0.1477
p0p50;2010;0.1433
p0p50;2011;0.1373
p0p50;2012;0.1346
p0p50;2013;0.1339
p0p50;2014;0.1313
p0p50;2015;0.1313
p0p50;2016;0.1313
p0p50;2017;0.1313
p0p50;2018;0.1313
p0p50;2019;0.1313
p0p50;2020;0.1313
p0p50;2021;0.1313
p99p100;1820;0.16
p99p100;1821;
p99p100;1822;
p99p100;1823;
p99p100;1824;
p99p100;1825;
p99p100;1826;
p99p100;1827;
p99p100;1828;
p99p100;1829;
p99p100;1830;
p99p100;1831;
p99p100;1832;
p99p100;1833;
p99p100;1834;
p99p100;1835;
p99p100;1836;
p99p100;1837;
p99p100;1838;
p99p100;1839;
p99p100;1840;
p99p100;1841;
p99p100;1842;
p99p100;1843;
p99p100;1844;
p99p100;1845;
p99p100;1846;
p99p100;1847;
p99p100;1848;
p99p100;1849;
p99p100;1850;0.18
p99p100;1851;
p99p100;1852;
p99p100;1853;
p99p100;1854;
p99p100;1855;
p99p100;1856;
p99p100;1857;
p99p100;1858;
p99p100;1859;
p99p100;1860;
p99p100;1861;
p99p100;1862;
p99p100;1863;
p99p100;1864;
p99p100;1865;
p99p100;1866;
p99p100;1867;
p99p100;1868;
p99p100;1869;
p99p100;1870;
p99p100;1871;
p99p100;1872;
p99p100;1873;
p99p100;1874;
p99p100;1875;
p99p100;1876;
p99p100;1877;
p99p100;1878;
p99p100;1879;
p99p100;1880;0.182
p99p100;1881;
p99p100;1882;
p99p100;1883;
p99p100;1884;
p99p100;1885;
p99p100;1886;
p99p100;1887;
p99p100;1888;
p99p100;1889;
p99p100;1890;
p99p100;1891;
p99p100;1892;
p99p100;1893;
p99p100;1894;
p99p100;1895;
p99p100;1896;
p99p100;1897;
p99p100;1898;
p99p100;1899;
p99p100;1900;0.168
p99p100;1901;
p99p100;1902;
p99p100;1903;
p99p100;1904;
p99p100;1905;
p99p100;1906;
p99p100;1907;
p99p100;1908;
p99p100;1909;
p99p100;1910;0.14
p99p100;1911;
p99p100;1912;
p99p100;1913;
p99p100;1914;
p99p100;1915;
p99p100;1916;
p99p100;1917;
p99p100;1918;
p99p100;1919;
p99p100;1920;0.1665
p99p100;1921;
p99p100;1922;0.1309
p99p100;1923;0.1315
p99p100;1924;0.1412
p99p100;1925;0.1264
p99p100;1926;0.1304
p99p100;1927;0.1339
p99p100;1928;0.1367
p99p100;1929;0.1326
p99p100;1930;0.1365
p99p100;1931;0.1334
p99p100;1932;0.1628
p99p100;1933;0.1679
p99p100;1934;0.1832
p99p100;1935;0.202
p99p100;1936;0.1976
p99p100;1937;0.1911
p99p100;1938;0.1962
p99p100;1939;0.2071
p99p100;1940;0.1949
p99p100;1941;0.1887
p99p100;1942;
p99p100;1943;0.1377
p99p100;1944;0.1041
p99p100;1945;0.1061
p99p100;1946;
p99p100;1947;0.1302
p99p100;1948;0.1153
p99p100;1949;0.1031
p99p100;1950;0.1172
p99p100;1951;0.1177
p99p100;1952;0.1208
p99p100;1953;0.1137
p99p100;1954;0.1285
p99p100;1955;0.1394
p99p100;1956;0.1408
p99p100;1957;0.1444
p99p100;1958;0.1394
p99p100;1959;0.1328
p99p100;1960;0.1354
p99p100;1961;0.1303
p99p100;1962;0.1291
p99p100;1963;0.1256
p99p100;1964;0.1233
p99p100;1965;0.1299
p99p100;1966;0.1326
p99p100;1967;0.1294
p99p100;1968;0.1246
p99p100;1969;0.1328
p99p100;1970;0.1331
p99p100;1971;0.1171
p99p100;1972;0.1129
p99p100;1973;0.1054
p99p100;1974;0.1042
p99p100;1975;0.107
p99p100;1976;0.1056
p99p100;1977;0.1001
p99p100;1978;0.0952
p99p100;1979;0.0824
p99p100;1980;0.0754
p99p100;1981;0.0688
p99p100;1982;0.0628
p99p100;1983;0.1057
p99p100;1984;0.0912
p99p100;1985;0.1072
p99p100;1986;0.1109
p99p100;1987;0.1059
p99p100;1988;0.114
p99p100;1989;0.1131
p99p100;1990;0.1074
p99p100;1991;0.1044
p99p100;1992;0.1027
p99p100;1993;0.1279
p99p100;1994;0.1267
p99p100;1995;0.1335
p99p100;1996;0.1356
p99p100;1997;0.1419
p99p100;1998;0.1473
p99p100;1999;0.1508
p99p100;2000;0.1551
p99p100;2001;0.1629
p99p100;2002;0.171
p99p100;2003;0.1794
p99p100;2004;0.1881
p99p100;2005;0.1971
p99p100;2006;0.201
p99p100;2007;0.205
p99p100;2008;0.2088
p99p100;2009;0.2127
p99p100;2010;0.2164
p99p100;2011;0.2154
p99p100;2012;0.217
p99p100;2013;0.22
p99p100;2014;0.2173
p99p100;2015;0.2173
p99p100;2016;0.2173
p99p100;2017;0.2173
p99p100;2018;0.2173
p99p100;2019;0.2173
p99p100;2020;0.2173
p99p100;2021;0.2173
